"sep=	"
Shimmer_BFED_Timestamp_Unix_CAL	Shimmer_BFED_Accel_LN_X_CAL	Shimmer_BFED_Accel_LN_Y_CAL	Shimmer_BFED_Accel_LN_Z_CAL	Shimmer_BFED_Accel_WR_X_CAL	Shimmer_BFED_Accel_WR_Y_CAL	Shimmer_BFED_Accel_WR_Z_CAL	Shimmer_BFED_Gyro_X_CAL	Shimmer_BFED_Gyro_Y_CAL	Shimmer_BFED_Gyro_Z_CAL	Shimmer_BFED_Pressure_BMP180_CAL	Shimmer_BFED_Temperature_BMP180_CAL	
ms	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	deg/s	deg/s	deg/s	kPa	Degrees Celsius	
1512129073492.71	-9.69879518072289	0.469879518072289	0.807228915662651	-9.8295524218271	-0.0392397302268547	0.519926425505825	1.75572519083969	1.3587786259542	-1.00763358778626	102.424930898688	26.9098182449714	
1512129073496.61	-9.67469879518072	0.566265060240964	0.759036144578313	-9.80012262415696	0.147148988350705	0.37277743715512	1.90839694656489	1.25190839694656	-1.80152671755725	102.42788620301	26.9098182449714	
1512129073500.52	-9.43373493975904	0.373493975903614	0.843373493975904	-9.72164316370325	0.137339055793991	0.431637032495402	2.74809160305343	1.20610687022901	-2.27480916030534	102.42788620301	26.9098182449714	
1512129073504.43	-9.36144578313253	0.156626506024096	0.819277108433735	-9.59411404046597	-0.00980993255671367	0.402207234825261	3.40458015267176	1.6793893129771	-2.53435114503817	102.42788620301	26.9098182449714	
1512129073508.33	-9.34939759036145	0.0	0.710843373493976	-9.57449417535254	-0.058859595340282	0.392397302268547	2.9618320610687	2.0763358778626	-2.47328244274809	102.42788620301	26.9098182449714	
1512129073512.24	-9.43373493975904	-0.192771084337349	0.650602409638554	-9.63335377069283	-0.284488044144696	0.264868179031269	2.3206106870229	2.12213740458015	-2.90076335877863	102.42788620301	26.9098182449714	
1512129073516.14	-9.36144578313253	-0.578313253012048	0.650602409638554	-9.67259350091968	-0.48068669527897	0.235438381361128	1.81679389312977	1.6793893129771	-3.16030534351145	102.42788620301	26.9098182449714	
1512129073520.05	-9.37349397590362	-0.759036144578313	0.807228915662651	-9.59411404046597	-0.814224402207235	0.313917841814837	1.3587786259542	1.46564885496183	-2.87022900763359	102.42788620301	26.9098182449714	
1512129073523.96	-9.51807228915663	-0.819277108433735	1.09638554216867	-9.78050275904353	-1.03004291845494	0.618025751072961	1.08396946564886	1.34351145038168	-2.61068702290076	102.42788620301	26.9098182449714	
1512129073527.86	-9.48192771084337	-1.12048192771084	1.53012048192771	-9.6824034334764	-1.13795217657879	0.863274064990803	0.870229007633588	1.55725190839695	-2.70229007633588	102.42788620301	26.9098182449714	
1512129073531.77	-9.53012048192771	-1.48192771084337	1.60240963855422	-9.81974248927039	-1.66768853464132	1.11833231146536	0.717557251908397	2.24427480916031	-2.76335877862595	102.433796813963	26.9098182449714	
1512129073535.68	-9.39759036144578	-1.83132530120482	1.37349397590361	-9.72164316370325	-1.92274678111588	1.11833231146536	-0.244274809160305	2.36641221374046	-2.35114503816794	102.433796813963	26.9098182449714	
1512129073539.58	-9.32530120481928	-1.72289156626506	1.10843373493976	-9.64316370324954	-2.03065603923973	0.725935009196812	-1.02290076335878	2.29007633587786	-1.41984732824427	102.433796813963	26.9098182449714	
1512129073543.49	-9.25301204819277	-1.21686746987952	0.819277108433735	-9.62354383813611	-1.65787860208461	0.402207234825261	-0.916030534351145	1.93893129770992	-0.580152671755725	102.42788620301	26.9098182449714	
1512129073547.39	-9.30120481927711	-0.506024096385542	0.63855421686747	-9.5450643776824	-1.2164316370325	0.313917841814837	-0.870229007633588	1.77099236641221	0.183206106870229	102.42788620301	26.9098182449714	
1512129073551.3	-9.3855421686747	0.0481927710843373	0.542168674698795	-9.6137339055794	-0.461066830165543	0.215818516247701	-0.854961832061069	1.40458015267176	0.137404580152672	102.42788620301	26.9098182449714	
1512129073555.21	-9.40963855421687	0.0963855421686747	0.481927710843373	-9.65297363580625	-0.29429797670141	0.088289393010423	-1.22137404580153	1.31297709923664	-0.0152671755725191	102.433796813963	26.9098182449714	
1512129073559.11	-9.40963855421687	-0.156626506024096	0.36144578313253	-9.63335377069283	-0.29429797670141	0.0196198651134273	-0.870229007633588	1.26717557251908	-0.0152671755725191	102.433796813963	26.9098182449714	
1512129073563.02	-9.39759036144578	-0.421686746987952	0.289156626506024	-9.62354383813611	-0.421827099938688	-0.0392397302268547	-0.488549618320611	1.09923664122137	0.244274809160305	102.433796813963	26.9098182449714	
1512129073566.93	-9.37349397590362	-0.481927710843373	0.385542168674699	-9.59411404046597	-0.608215818516248	-0.058859595340282	-0.793893129770992	0.366412213740458	0.610687022900763	102.430841508102	26.9098182449714	
1512129073570.83	-9.43373493975904	-0.518072289156627	0.578313253012048	-9.6137339055794	-0.716125076640098	0.166768853464132	-1.66412213740458	-0.641221374045801	1.17557251908397	102.430841508102	26.9098182449714	
